000829.SZ,天音控股
000830.SZ,魯西化工
000831.SZ,*ST關鋁
000833.SZ,貴糖股份
000835.SZ,四川圣達
000836.SZ,鑫茂科技
000837.SZ,秦川發展
000838.SZ,*ST國興
000839.SZ,中信國安
000848.SZ,承德露露
000850.SZ,華茂股份
000851.SZ,高鴻股份
000852.SZ,江鉆股份
000856.SZ,冀東裝備
000858.SZ,五 糧 液
000859.SZ,國風塑業
000860.SZ,順鑫農業
000861.SZ,海印股份
000862.SZ,銀星能源
000863.SZ,三湘股份
000868.SZ,安凱客車
000869.SZ,張  裕Ａ
000875.SZ,吉電股份
000876.SZ,新 希 望
000877.SZ,天山股份
000878.SZ,云南銅業
000880.SZ,濰柴重機
000881.SZ,大連國際
000882.SZ,華聯股份
000883.SZ,湖北能源
000885.SZ,同力水泥
000886.SZ,海南高速
000887.SZ,中鼎股份
000888.SZ,峨眉山Ａ
000889.SZ,渤海物流
000890.SZ,法 爾 勝
000892.SZ,*ST星美
000893.SZ,東凌糧油
000895.SZ,雙匯發展
000897.SZ,津濱發展
000898.SZ,鞍鋼股份
000899.SZ,*ST贛能
000900.SZ,現代投資
000901.SZ,航天科技
000902.SZ,中國服裝
000903.SZ,云內動力
000905.SZ,廈門港務
000906.SZ,物產中拓
000908.SZ,ST天一
000909.SZ,數源科技
000910.SZ,大亞科技
000911.SZ,南寧糖業
000912.SZ,瀘 天 化
000913.SZ,錢江摩托
000915.SZ,山大華特
000916.SZ,華北高速
000917.SZ,電廣傳媒
000918.SZ,嘉凱城
000919.SZ,金陵藥業
000920.SZ,南方匯通
000921.SZ,ST 科 龍
000922.SZ,佳電股份
000923.SZ,河北宣工
000925.SZ,眾合機電
000926.SZ,福星股份
000927.SZ,一汽夏利
000928.SZ,中鋼吉炭
000929.SZ,蘭州黃河
000930.SZ,中糧生化
000931.SZ,中 關 村
000932.SZ,華菱鋼鐵
000933.SZ,神火股份
000935.SZ,四川雙馬
000936.SZ,華西股份
000937.SZ,冀中能源
000938.SZ,紫光股份
000939.SZ,凱迪電力
000948.SZ,南天信息
000949.SZ,新鄉化纖
000950.SZ,建峰化工
000951.SZ,中國重汽
000952.SZ,廣濟藥業
000953.SZ,ST河化
000955.SZ,ST欣龍
000957.SZ,中通客車
000958.SZ,ST東熱
000959.SZ,首鋼股份
000960.SZ,錫業股份
000961.SZ,中南建設
000962.SZ,東方鉭業
000963.SZ,華東醫藥
000965.SZ,天保基建
000966.SZ,長源電力
000967.SZ,上風高科
000968.SZ,煤 氣 化
000969.SZ,安泰科技
000970.SZ,中科三環
000971.SZ,ST邁亞
000972.SZ,*ST中基
000973.SZ,佛塑科技
000975.SZ,銀泰資源
000976.SZ,春暉股份
000977.SZ,浪潮信息
000978.SZ,桂林旅游
000979.SZ,中弘股份
000980.SZ,金馬股份
000981.SZ,銀億股份
000982.SZ,中銀絨業
000983.SZ,西山煤電
000985.SZ,大慶華科
000987.SZ,廣州友誼
000988.SZ,華工科技
000989.SZ,九 芝 堂
000990.SZ,誠志股份
000993.SZ,閩東電力
000995.SZ,ST皇臺
000996.SZ,中國中期
000997.SZ,新 大 陸
000998.SZ,隆平高科
000999.SZ,華潤三九
001696.SZ,宗申動力
001896.SZ,豫能控股
002001.SZ,新 和 成
002002.SZ,金材股份
002003.SZ,偉星股份
002004.SZ,華邦穎泰
002005.SZ,德豪潤達
002006.SZ,精功科技
002007.SZ,華蘭生物
002008.SZ,大族激光
002009.SZ,天奇股份
002010.SZ,傳化股份
002011.SZ,盾安環境
002012.SZ,凱恩股份
002013.SZ,中航精機
002014.SZ,永新股份
002015.SZ,霞客環保
002016.SZ,世榮兆業
002017.SZ,東信和平
002018.SZ,華星化工
002019.SZ,*ST鑫富
002020.SZ,京新藥業
002021.SZ,中捷股份
002022.SZ,科華生物
002023.SZ,海特高新
002024.SZ,蘇寧云商
002025.SZ,航天電器
002026.SZ,山東威達
002027.SZ,七喜控股
002028.SZ,思源電氣
002029.SZ,七 匹 狼
002030.SZ,達安基因
002031.SZ,巨輪股份
002032.SZ,蘇 泊 爾
002033.SZ,麗江旅游
002034.SZ,美 欣 達
002035.SZ,華帝股份
002036.SZ,宜科科技
002037.SZ,久聯發展
002038.SZ,雙鷺藥業
002039.SZ,黔源電力
002040.SZ,南 京 港
