090501.SH,0501質押
090504.SH,0504質押
090512.SH,0512質押
090601.SH,0601質押
090603.SH,0603質押
090606.SH,0606質押
090609.SH,0609質押
090613.SH,0613質押
090616.SH,0616質押
090619.SH,0619質押
090620.SH,0620質押
090701.SH,0701質押
090703.SH,0703質押
090706.SH,0706質押
090707.SH,0707質押
090710.SH,0710質押
090713.SH,0713質押
090714.SH,0714質押
090718.SH,0718質押
090801.SH,0801質押
090802.SH,0802質押
090803.SH,0803質押
090805.SH,0805質押
090806.SH,0806質押
090807.SH,0807質押
090810.SH,0810質押
090813.SH,0813質押
090814.SH,0814質押
090817.SH,0817質押
090818.SH,0818質押
090820.SH,0820質押
090822.SH,0822質押
090823.SH,0823質押
090825.SH,0825質押
090826.SH,0826質押
090901.SH,0901質押
090902.SH,0902質押
090903.SH,0903質押
090904.SH,0904質押
090905.SH,0905質押
090906.SH,0906質押
090907.SH,0907質押
090910.SH,0910質押
090911.SH,0911質押
090912.SH,0912質押
090913.SH,0913質押
090916.SH,0916質押
090917.SH,0917質押
090918.SH,0918質押
090919.SH,0919質押
090920.SH,0920質押
090923.SH,0923質押
090924.SH,0924質押
090925.SH,0925質押
090926.SH,0926質押
090927.SH,0927質押
090930.SH,0930質押
090931.SH,0931質押
090932.SH,0932質押
091002.SH,11國質02
091003.SH,11國質03
091004.SH,11國質04
091005.SH,11國質05
091006.SH,11國質06
091007.SH,11國質07
091008.SH,11國質08
091010.SH,11國質10
091012.SH,11國質12
091013.SH,11國質13
091014.SH,11國質14
091015.SH,11國質15
091016.SH,11國質16
091017.SH,11國質17
091019.SH,11國質19
091021.SH,11國質21
091022.SH,11國質22
091023.SH,11國質23
091024.SH,11國質24
091025.SH,11國質25
091027.SH,12國質02
091028.SH,12國質03
091029.SH,12國質04
091030.SH,12國質05
091031.SH,12國質06
091032.SH,12國質07
091033.SH,12國質08
091034.SH,12國質09
091035.SH,12國質10
091036.SH,12國質11
091037.SH,12國質12
091038.SH,12國質13
091039.SH,12國質14
091040.SH,12國質15
091041.SH,12國質16
091042.SH,12國質17
091043.SH,12國質18
091044.SH,12國質19
091045.SH,12國質20
091046.SH,12國質21
091047.SH,13國質01
100916.SH,雙良回售
103000.SH,12奉投質
103002.SH,12蒙高質
103008.SH,12國奧質
103010.SH,12雞國質
103014.SH,12築住質
103016.SH,12常德質
103018.SH,12昌經質
103020.SH,12遼城質
103021.SH,12濰東質
103025.SH,12池城質
103027.SH,12瑞國質
103029.SH,12玉城質
103031.SH,12豫鐵質
103036.SH,12張經質
103039.SH,12渝江質
103042.SH,12鄂旅質
103043.SH,12深立質
103046.SH,12濮建質
103048.SH,12平國質
103050.SH,12榆城質
103053.SH,12營口質
103057.SH,12汕城質
103060.SH,12駐投質
103063.SH,12國03質
103064.SH,12國04質
103074.SH,12張公質
103076.SH,12金湖質
103077.SH,12榕建質
103081.SH,12長先質
104000.SH,07長電質
104001.SH,07海工質
104003.SH,07華質2 
104004.SH,07華質3 
104006.SH,08金地質
104007.SH,08萊鋼質
104008.SH,08華能質
104011.SH,08金發質
104012.SH,08保利質
104013.SH,08北辰質
104014.SH,09豫園質
104015.SH,09長電質
104016.SH,09中材質
104017.SH,09大唐質
104018.SH,09中質G1
104019.SH,09中質G2
104020.SH,09複地質
104021.SH,09廣彙質
104022.SH,09城控質
104023.SH,09萬業質
104024.SH,09國陽質
104025.SH,09首置質
104026.SH,09福田質
104028.SH,09華發質
104029.SH,09萬通質
104030.SH,09京綜質
104032.SH,09隧道質
104033.SH,09富力質
104035.SH,09蘇高質
104036.SH,09滬江質
104037.SH,09三友質
104038.SH,09寧高質
104039.SH,09皖通質
104040.SH,09黃浦質
104041.SH,09招金質
104043.SH,09紫江質
104044.SH,10連雲質
104045.SH,10中質G1
104046.SH,10中質G2
104047.SH,10首質01
104048.SH,10首質02
104049.SH,10營口質
104050.SH,10杉杉質
104051.SH,石化質01
104052.SH,石化質02
104053.SH,10泰豪質
104054.SH,10中鐵Z3
104055.SH,10中鐵Z4
104056.SH,10龍質01
104057.SH,10龍質02
104058.SH,10豫園質
104059.SH,10重鋼質
104061.SH,11西01質
104062.SH,11西02質
104063.SH,11龍01質
104064.SH,11龍02質
104065.SH,11上港質
104066.SH,11大01質
104067.SH,11南鋼質
104068.SH,11海01質
104069.SH,11海02質
104070.SH,11海01質
104071.SH,11海02質
104072.SH,11大連質
104073.SH,11雲維質
104074.SH,11士蘭質
104075.SH,11柳鋼質
104076.SH,11康恩質
104077.SH,11西鋼質
104078.SH,11東陽質
104079.SH,11上02質
104080.SH,11康美質
104081.SH,11星湖質
104082.SH,11發展質
104083.SH,11天威質
104084.SH,11湘電質
104085.SH,11深高質
104086.SH,11正泰質
104087.SH,11淩鋼質
104089.SH,11馬01質
104090.SH,11馬02質
104091.SH,11重機質
104092.SH,11大01質
104093.SH,11中孚質
104094.SH,11海正質
104095.SH,11杭鋼質
104096.SH,11健康質
104097.SH,11浦路質
104098.SH,11八鋼質
104099.SH,11連質02
104100.SH,11華儀質
104102.SH,11廣01質
104103.SH,11航質01
104105.SH,11安質02
104106.SH,11唐01質
104107.SH,11安質01
104108.SH,11新質01
104109.SH,11新質02
104110.SH,11眾和質
104111.SH,11永泰質
104112.SH,11滬大質
104113.SH,11新鋼質
104114.SH,11一重質
104115.SH,11華質01
104116.SH,11華質02
104117.SH,11閩高質
104118.SH,12興質01
104119.SH,12興質02
104121.SH,11日照質
104122.SH,11精工質
104123.SH,11化質01
104124.SH,11化質02
104125.SH,11美蘭質
104126.SH,11龐質02
104127.SH,11歐亞質
104128.SH,11武鋼質
104129.SH,12酒鋼質
104130.SH,11航質01
104131.SH,11片仔質
104132.SH,12鵬博質
104133.SH,11柳化質
104135.SH,12寶泰質
104136.SH,11複星質
104138.SH,11桂質01
104139.SH,11洪水質
104140.SH,12寧質01
104141.SH,12天質01
104143.SH,12億質01
104144.SH,12魯信質
104145.SH,11桂質02
104146.SH,12華質01
104147.SH,12華質02
104148.SH,11吉高質
104149.SH,12石質01
104150.SH,12石質02
104151.SH,12電質01
104152.SH,12電質02
104153.SH,12京質01
104154.SH,12京質02
104155.SH,12天富質
104156.SH,12廈工質
104157.SH,12廣質01
104158.SH,12西鋼質
104159.SH,12億質02
104161.SH,12申02質
104162.SH,12中孚質
104163.SH,12鄂資質
104164.SH,12通威質
104165.SH,12電質03
104166.SH,12電質04
104167.SH,12兗01質
104168.SH,12兗02質
104170.SH,12江藥質
104171.SH,12海質01
104172.SH,12海質02
104173.SH,12交質01
104174.SH,12交質02
104175.SH,12交質03
104176.SH,12中儲質
104177.SH,12科質01
104178.SH,12科質02
104179.SH,12科質03
104180.SH,12旋風質
104181.SH,12山鷹質
104182.SH,12九州質
104183.SH,12集01質
104184.SH,12重01質
104185.SH,12力質01
104186.SH,12力質02
104187.SH,12玻纖質
104188.SH,12華質03
104189.SH,12王01質
104190.SH,12王02質
104191.SH,12桂01質
104192.SH,12桂02質
104193.SH,12水01質
104194.SH,12水02質
104195.SH,12海質03
104196.SH,12海質04
104198.SH,12能質01
104199.SH,12能質02
104200.SH,12晉蘭質
104201.SH,12灤質01
104202.SH,12螺01質
104203.SH,12螺02質
104204.SH,12雙良質
104205.SH,12滬交質
104206.SH,12賽輪質
104207.SH,12駱駝質
104208.SH,12招金質
104209.SH,12油01質
104210.SH,12油02質
104211.SH,12油03質
104212.SH,12京江質
104213.SH,12鬆建質
104214.SH,12大秦質
104215.SH,12永01質
104500.SH,12郴城質
104501.SH,12壽財質
104503.SH,12並龍質
104505.SH,12紹袍質
104506.SH,12吳交質
104507.SH,12玉交質
104510.SH,12靖新質
104515.SH,12慶城質
104518.SH,12保利質
104519.SH,12錫經質
104520.SH,12唐城質
104523.SH,12亮01質
104524.SH,12亮02質
104525.SH,12滬嘉質
104526.SH,12永川質
104527.SH,12溫國質
104533.SH,12平城質
104536.SH,12慈國質
104537.SH,12克城質
